CodPessoa,theta,enem_score,acertos,total_itens
8679263,-1.054,395,17,45
8679306,0.317,532,31,45
8679465,0.543,554,33,45
8679980,0.311,531,25,45
8680061,-0.71,429,22,45
8680549,-1.085,391,14,45
8680561,3.372,837,39,45
8680671,-1.064,394,13,45
8680813,-0.957,404,19,45
8680862,-0.808,419,21,45
8680937,-1.203,380,10,45
8681196,-1.199,380,13,45
8681251,-1.034,397,13,45
8681257,-0.152,485,28,45
8681273,-0.297,470,26,45
8681276,4.0,900,40,45
8681281,0.424,542,36,45
8681313,-1.008,399,13,45
8681516,-0.918,408,18,45
8682046,0.635,564,35,45
8682048,0.55,555,36,45
8682061,0.793,579,33,45
8682063,0.51,551,33,45
8682070,0.465,547,36,45
8682072,4.0,900,40,45
8682078,-4.0,100,0,45
8682080,0.683,568,38,45
8682088,0.693,569,38,45
8682100,0.646,565,35,45
8682131,-1.578,342,16,45
8682140,2.179,718,36,45
8682148,3.532,853,38,45
8682159,3.532,853,38,45
8682177,0.357,536,33,45
8682180,-0.762,424,16,45
8682181,0.285,529,26,45
8682200,3.532,853,38,45
8682206,0.421,542,34,45
8682232,0.541,554,38,45
8682247,-1.243,376,13,45
8682255,0.465,547,36,45
8682282,-0.295,470,24,45
8682446,0.465,547,36,45
8682450,0.53,553,37,45
8682464,0.1,510,24,45
8682474,0.465,547,36,45
8682480,-0.598,440,23,45
8682508,-0.398,460,26,45
8682521,0.465,547,36,45
8682667,-0.321,468,21,45
8682803,0.329,533,27,45
8683352,-1.27,373,13,45
8684083,0.519,552,32,45
8684575,-0.989,401,16,45
8684603,-0.285,472,22,45
8684615,-0.917,408,21,45
8684619,-1.04,396,12,45
8684625,-0.838,416,20,45
8684634,-0.978,402,17,45
8684638,-0.534,447,19,45
8684643,-0.859,414,22,45
8684648,-1.068,393,12,45
8684652,-1.714,329,11,45
8684653,-0.775,423,20,45
8684658,0.4,540,33,45
8684664,-0.544,446,17,45
8684680,-1.014,399,20,45
8684684,0.451,545,33,45
8684691,-0.92,408,12,45
8684700,0.454,545,33,45
8684701,-0.312,469,21,45
8684703,-1.007,399,17,45
8684706,-1.223,378,11,45
8684707,-1.219,378,14,45
8684709,-0.294,471,26,45
8684713,-0.169,483,23,45
8684714,-1.422,358,12,45
8684717,-0.416,458,22,45
8684719,-0.743,426,20,45
8684724,-0.471,453,18,45
8684726,-0.286,471,21,45
8684727,-1.146,385,12,45
8684746,-1.066,393,16,45
